mz	pval.BH.Time_point	pval.BH.Treatment	pval.BH.Genotype	pval.BH.Time_point:Treatment	pval.BH.Time_point:Genotype	pval.BH.Treatment:Genotype	pval.BH.Time_point:Treatment:Genotype	selected.var	Mean_Time_point.12h	Mean_Time_point.24h	Mean_Time_point.4h	Mean_Time_point.8h	Mean_Treatment.CAR	Mean_Treatment.CON	Mean_Genotype.I	Mean_Genotype.X
290.1348681	0.1649464526	0.64727609	0.4263288105	0.9981431924	0.0781848165	0.9905120932	0.8569533782	no	14.503982126875	14.5475200871875	14.333135885	14.5003674758065	14.4430616775	14.4994264057143	14.4444994457813	14.4979658157143
290.1351706	0.4738866721	0.2501785091	0	0.9981431924	0.1435734008	0.9213658181	0.8805374963	no	14.2417260534375	14.2669255675	14.1457697765625	14.1837156219355	14.2747835375	14.1436590888889	13.9730536742188	14.4501783150794
290.1457645	0.9446855383	0.5871398864	0.5981711836	0.9981431924	0.0373976042	0.9905120932	0.9880093953	no	17.7849119884375	17.7846521503125	17.7874408353125	17.8170146332258	17.7729245864063	17.8140387185714	17.805021020625	17.7814328171429
290.187943	0.8795099279	0.86264889	2e-10	0.9999265789	0.679859941	0.9730413123	0.9882047026	no	15.4317614909375	15.4346185009375	15.35157115125	15.4796086077419	15.4071333826562	15.4410439195238	15.7845499784375	15.057636584127
290.4953531	0.3292529744	0.9059472915	0.039996658	0.9981431924	0.2076898394	0.9213658181	0.9919597918	no	15.5784347990625	15.647221825	15.738634420625	15.5815869845161	15.6438311829687	15.6298621307937	15.7027167557812	15.5700418663492
290.6234454	0.2533083928	0.8715398107	0	0.9981431924	0.3403922013	0.9576841845	0.6684827716	no	14.317335365	14.302035895625	14.4112929159375	14.3980016316129	14.3505438389062	14.3632460085714	13.9478919320313	14.7722892155556
290.8297416	0.1182374182	0.769291508	0.0880462718	0.9981431924	0.0040922876	0.9213658181	0.9618226287	no	14.8201447409375	14.897963588125	14.9271809525	14.7732563496774	14.8423274476563	14.8684324952381	14.893862673125	14.8160792503175
291.0490093	0.0012062107	0.7226687409	0.0192066171	0.9981431924	0.0985310856	0.9905120932	0.9697944277	no	14.16165369375	14.29052533	14.007889216875	14.05796919	14.1453756807812	14.1145267463492	14.18657553375	14.0726729274603
291.069955	0.6449919879	0.7532509819	0	0.9981431924	0.0017586122	0.9730413123	0.9919597918	no	15.30843434	15.3531973765625	15.2680042971875	15.2535322964516	15.2800233689062	15.3124818733333	14.591514305	16.0119196525397
291.074584	0.4517381366	0.4486153269	3e-10	0.9981431924	0.3690547981	0.9946189697	0.963453381	no	14.7544008640625	14.58583525125	14.6969844334375	14.7690144380645	14.7587557470313	14.6423831322222	14.4287183910937	14.9776591763492
291.0834161	0.44120221	0.5959839126	0	0.9981431924	0.1802851486	0.9905120932	0.9919597918	no	14.54775232375	14.938012851875	14.6820666878125	14.6826343716129	14.6357213657813	14.7912082180952	13.8919128289062	15.5468232396825
291.1120299	0.0096600833	0.5053900149	2.19394e-05	0.9981431924	2.413e-07	0.9905120932	0.9465247966	no	14.013561754375	14.018043225625	14.2613216634375	14.0650850332258	14.0568679075	14.123043532381	14.2067135407812	13.9708193969841
291.1183642	0.2494710112	0.4263659746	0	0.9981431924	0.0462136894	0.9905120932	0.9448294721	no	14.25821575375	14.166191296875	14.3235694	14.3300592622581	14.31414662625	14.2232015788889	14.0233860482812	14.518577404127
291.1185727	0.000135353	0.4218262711	0	0.9981431924	0.009219473	0.9905120932	0.9352435012	no	13.9080032984375	14.23095698125	13.952736858125	13.9438043954839	13.97016089125	14.0492372639683	13.779089118125	14.243341922381
291.1187288	0.0001080797	0.4660435206	0	0.9981431924	0.0273139698	0.9905120932	0.9981823114	no	15.7148894084375	16.58475465	15.7084638765625	15.6826111890323	15.8219959307813	16.0287724001587	15.2995389554687	16.5595223433333
291.1297933	0.0003739066	0.8588096389	0.0093888012	0.9981431924	0.0026493045	0.9905120932	0.9919597918	no	16.188872585	16.2968866140625	16.0241135828125	16.14260543	16.1562276920313	16.1704464295238	16.109976705625	16.2174315585714
291.1379665	0.4708838663	0.46979888	0	0.9981431924	0.3626032673	0.9905120932	0.9998685908	no	15.048165640625	15.1944447628125	15.14650562	15.1816339370968	15.0988936176563	15.186558305873	14.8663620204688	15.4227808807937
291.1490005	0.9723376209	0.593315174	0.2762748198	0.9981431924	0.2185566381	0.9999127051	0.9893940686	no	15.3373070325	15.366321265625	15.348802345	15.3666774616129	15.3306948832813	15.3790525295238	15.3821295073438	15.3268014828571
291.2636454	0.904463114	0.9459459948	0	0.9981431924	0.3321408162	0.9905120932	0.7126751658	no	14.9603160459375	15.0293333678125	14.926449534375	14.9775724377419	14.9797702253125	14.9668986903175	14.380963419375	15.5752103661905
291.6351408	0.2088867788	0.8971458423	0	0.9981431924	4.2716e-05	0.9905120932	0.4050198375	no	14.38144251375	14.42882241625	14.3006431515625	14.3438395254839	14.3586225832812	14.3691466439683	14.04916102125	14.6835202942857
291.6385788	0.0010784323	0.2863156008	2.62e-08	0.9981431924	0.0057556377	0.9893438273	0.9887377879	no	14.2845921678125	14.2375624778125	14.477840388125	14.407991556129	14.3068158878125	14.3970057539683	14.477016558125	14.2241034857143
291.6475692	0.8508125879	0.6944187859	0	0.9981431924	0.2067267019	0.9730413123	0.9119242835	no	14.6725583015625	14.6965091296875	14.575744606875	14.6392487703226	14.6112825746875	14.6814065447619	15.0675618195312	14.2178847722222
291.651743	0.216931354	0.5216339255	0.078793923	0.9981431924	0.47097604	0.9213658181	0.9170875325	no	14.4451522678125	14.417439103125	14.6919819834375	14.5703066680645	14.476659928125	14.5860256928571	14.447803120625	14.6153405449206
291.6656099	0.480470094	0.3712249582	0.9645138811	0.9981431924	0.4828767576	0.9999127051	0.9697944277	no	15.2471119809375	15.2711030059375	15.10970207375	15.1426527	15.1229960814062	15.2641877846032	15.1913213770312	15.1947779604762
292.0733662	0.6020698097	0.46979888	0	0.9981431924	0.0382822415	0.9730413123	0.9916014286	no	13.8196298328125	13.850316796875	13.86971056	13.8556637041935	13.8324272698438	13.8653850734921	13.6250019496875	14.0761028590476
292.1138082	0.0009813176	0.8124058256	0.0003358106	0.9981431924	0.6547773019	0.9905120932	0.7586351789	no	15.8371272334375	15.9816249928125	15.46100040875	15.7457382196774	15.7377935203125	15.7754156163492	15.6034934003125	15.9118474842857
292.1184222	0.0037490318	0.5251868204	2e-10	0.9981431924	0.0353059943	0.9730413123	0.9448294721	no	13.860897323125	13.9326196003125	13.760211439375	13.8255055058065	13.8273356782812	13.8628649980952	13.7405935614062	13.9509839739683
292.1221252	0.0005719996	0.9581557698	0	0.9981431924	0.0103888063	0.9905120932	0.9884960774	no	14.171807370625	14.6577061478125	14.153344218125	14.1314983548387	14.2733288053125	14.2862675084127	13.8347391454688	14.7318189088889
292.1291097	0.7589212177	0.4111037014	0.0004296768	0.9981431924	0.0330825136	0.9905120932	0.8633959701	no	15.750923113125	15.734121019375	15.81102116375	15.8165609441935	15.7296669935937	15.8268062088889	15.6688838895312	15.888554124127
292.1293058	0.0081781698	0.758657569	0	0.9981431924	0.0902337086	0.9905120932	0.3740265483	no	15.456777821875	15.4518462675	15.245980586875	15.1401740535484	15.3037957807813	15.3468224655556	14.0130129214063	16.658093941746
292.1324153	0.6966465864	0.3321016195	0.8176258923	0.9981431924	0.3948708587	0.9730413123	0.9923570386	no	13.9169758021875	13.9545675928125	13.9325829890625	13.9113446370968	13.9044831371875	13.9539175755556	13.9258862190625	13.9321747622222
292.1324404	0.4755146963	0.4335183771	2.69264e-05	0.9981431924	0.560451696	0.9905120932	0.9919597918	no	14.5217711090625	14.622698735625	14.670134121875	14.4889205406452	14.5142961954688	14.6398239234921	14.395868475	14.7601314490476
292.1502627	0.1781560402	0.3712249582	0.8966386618	0.9981431924	0.1913731666	0.9905120932	0.9882047026	no	16.5390596175	16.6850531634375	16.5065557303125	16.4325950635484	16.4745311246875	16.6098705928571	16.5359968121875	16.5474292595238
292.2115108	0.336917177	0.708664436	1.25778e-05	0.9981431924	0.2500246435	0.8058315627	0.9679182325	no	14.5348503840625	14.5454696265625	14.7104549496875	14.5841545874194	14.6180258701563	14.5692053214286	14.437820728125	14.7522708625397
292.2118493	0.9364552318	0.4307565759	0	0.9981431924	0.7472346056	0.9944635231	0.7764082419	no	14.00199793125	14.0365717959375	14.0312650521875	14.0063819222581	14.0513736053125	13.9864228855556	13.7924045365625	14.2495025744444
292.2745719	0.2785086107	0.3676738433	0	0.9981431924	0.2215359877	0.9730413123	0.741400415	no	14.096044949375	14.15378234625	14.027855686875	14.0318499048387	14.1204616082812	14.0343438025397	13.84649710375	14.31265695
292.6333344	0.0406348484	0.7181598119	0.9103044448	0.9981431924	0.5177764146	0.9905120932	0.4998816509	no	15.2148154121875	15.2854598265625	15.0732108515625	15.0573522190323	15.1375198829687	15.1798127169841	15.15418068375	15.1628874590476
292.9073793	0.2511133718	0.869548072	0	0.9981431924	0.5065014214	0.9905120932	0.7252705176	no	14.125242224375	14.223746565625	14.0390701071875	14.0641406348387	14.1231114895313	14.1036049057143	13.8486050095312	14.3824686314286
293.0579439	0.5346805399	0.4164641378	0	0.9981431924	0.0284130364	0.9730413123	0.8871750288	no	16.53102821625	16.4170374071875	16.54402794625	16.4859553735484	16.4468984626563	16.5430176063492	15.34683838375	17.6605389563492
293.0716857	0.1626554907	0.5709602653	0	0.9981431924	0.7790075113	0.9730413123	0.6418287949	no	14.23115617875	14.3277411028125	14.387963908125	14.1527217132258	14.3119008842187	14.2392424538095	13.9295510382813	14.6276613449206
293.1129761	0.1422935959	0.8565345874	0.0327361919	0.9981431924	0.0173358548	0.9905120932	0.6201131872	no	15.306008785	15.518343141875	15.2493514790625	15.4089133619355	15.3568019934375	15.384118978254	15.456764070625	15.2825702014286
293.113051	3.0575e-06	0.6637445993	0	0.9981431924	0.1127198788	0.9730413123	0.6392965187	no	15.894691805	16.0598701059375	15.68443075625	15.6880038612903	15.81091466375	15.8551959773016	15.6261371617188	16.0429064555556
293.1325736	0.8141568025	0.4495795561	0.0022863588	0.9981431924	0.06627823	0.9905120932	0.8570664275	no	14.1541385396875	14.137862555625	14.1999720071875	14.1623787006452	14.1331535242188	14.1945246579365	14.097517573125	14.2307262590476
293.1712023	9.468e-07	0.4660435206	0.0017484844	0.9981431924	0.6267354074	0.9905120932	0.9887377879	no	16.1560990946875	15.893134988125	16.66910458875	16.2873361619355	16.1919220125	16.3112896779365	16.1137928520312	16.3906589838095
293.1818097	0.9369528722	0.2188442312	0	0.9981431924	0.5064874618	0.9905120932	0.692351787	no	14.5906381096875	14.60600824	14.635829431875	14.5931077487097	14.6826840645312	14.5291076998413	14.8542036214062	14.3548656103175
293.2015099	0.0156245259	0.5100274486	2e-10	0.9981431924	0.1034491541	0.9905120932	0.8284451295	no	14.6566700275	14.9969099734375	14.7068191228125	14.6166160067742	14.6945180942188	14.7968049228571	15.02858748	14.4574328484127
293.2151557	0.8521683833	0.448033922	0	0.9981431924	0.895883886	0.9905120932	0.7933018882	no	13.928387745	13.89277404875	13.91703889125	13.8804834867742	13.9326776615625	13.8766038042857	13.7163277654687	14.0963878257143
293.6996013	0.2957376877	0.7484308715	4.13702e-05	0.9981431924	0.0409722541	0.9905120932	0.9974648563	no	15.442263688125	15.4682973484375	15.62577768625	15.5264244906452	15.4960927879688	15.535429522381	15.6560994209375	15.3728831015873
294.044187	0.2866300495	0.4367167841	0	0.9981431924	0.2382887313	0.9905120932	0.9882047026	no	14.6274421578125	14.6986864040625	14.5809344346875	14.524197716129	14.6513003942188	14.5649669819048	14.8967558821875	14.3156153750794
294.0613566	0.8996100191	0.3772367981	0	0.9981431924	0.3300042083	0.9706980959	0.9378466228	no	14.515905963125	14.5480580971875	14.5748533234375	14.5317856416129	14.497508511875	14.5886820065079	13.7711033384375	15.3266174207937
294.0969405	0.0044840522	0.7566342417	0	0.9981431924	0.5451131875	0.9930179134	0.9110819803	no	14.4536379834375	14.41841919625	14.64492131125	14.5705912251613	14.5346940571875	14.5081146036508	14.7112684646875	14.3287374277778
294.1166846	1.3156e-06	0.4334784469	2.26e-08	0.9981431924	0.4014620176	0.9905120932	0.6201131872	no	14.1616330996875	14.285362879375	14.059506169375	14.0802762577419	14.1261888145313	14.1685801366667	14.064483490625	14.2312649101587
294.117614	0.4349197413	0.3772367981	0	0.9981431924	0.3775991952	0.9730413123	0.6625506482	no	14.06232594625	14.09537662375	14.0246234434375	14.0024530296774	14.0799922470312	14.0125551196825	13.8533634221875	14.2427812274603
294.1186672	0.0133911181	0.4683611482	0	0.9981431924	0.069984286	0.9905120932	0.9895088927	no	15.81889814	16.106601120625	15.6510542425	15.8010287806452	15.78361097625	15.9068333622222	15.3625629026563	16.3345647385714
294.1294885	9.7604e-05	0.6543213319	1e-10	0.9981431924	0.0122103442	0.9905120932	0.9923210969	no	14.9484292203125	15.12101655125	14.7527297834375	14.8921280096774	14.9073491214063	14.9507181315873	14.7524966040625	15.1080286253968
294.14494	0.4571344395	0.8988263227	0	0.9981431924	0.2028802545	0.9905120932	0.9887377879	no	16.672074713125	16.628773120625	16.562061606875	16.4726857383871	16.57348289875	16.5962453090476	15.046012119375	18.1479616563492
294.1543587	0.0125782236	0.3476186193	0	0.9981431924	0.1399725232	0.8058315627	0.9882047026	no	15.57974511	16.399650808125	15.381046955	15.1619139887097	15.8670500159375	15.397814358254	14.63046275125	16.6540299922222
294.1701869	0.056288487	0.5216339255	0.2153890298	0.9981431924	0.0094810872	0.9905120932	0.8359668465	no	16.24468554	16.3775700975	16.560327001875	16.4100707141935	16.3555984017188	16.4412149030159	16.3520870021875	16.4447820390476
294.1791679	0.0033278833	0.9054898548	0.0065499031	0.9981431924	0.8179581941	0.9905120932	0.9575645386	no	15.3796097396875	15.2241110259375	15.4537797471875	15.4020041103226	15.3600805867187	15.369158512381	15.421796480625	15.3064630011111
294.5360622	0.147452745	0.4673592066	0.0002816523	0.9981431924	0.0140603363	0.9730413123	0.9919597918	no	15.1929630728125	15.2603925634375	15.150332815625	15.0137047664516	15.2015668340625	15.108612711746	15.28316513625	15.0257191984127
294.6585682	0.0310582397	0.3071605243	0.0311177009	0.9981431924	0.2119406728	0.9905120932	0.9434084077	no	15.2568424203125	15.223757501875	15.543246700625	15.3250556825806	15.2606828053125	15.4151764849206	15.419734563125	15.2536000960317
294.6717788	0.026708515	0.4388232077	0.0018093873	0.9981431924	0.0393375345	0.9905120932	0.6950528988	no	15.0318610821875	15.22830405875	15.2621973121875	15.124977986129	15.1229885159375	15.20188335	15.0774570282813	15.2481375596825
294.8678139	0.6657277812	0.3638911772	0	0.9981431924	0.119902781	0.9905120932	0.9280923238	no	14.8953007734375	14.90501408625	14.7963062890625	14.8365771309677	14.9167680848437	14.7992477839683	14.5687835379688	15.1527558950794
