mz	pval.BH.Time_point	pval.BH.Treatment	pval.BH.Genotype	pval.BH.Time_point:Treatment	pval.BH.Time_point:Genotype	pval.BH.Treatment:Genotype	pval.BH.Time_point:Treatment:Genotype	selected.var	Mean_Time_point.12h	Mean_Time_point.24h	Mean_Time_point.4h	Mean_Time_point.8h	Mean_Treatment.CON	Mean_Treatment.Pb	Mean_Genotype.I	Mean_Genotype.X
257.6526698	1.13e-08	0.5132873041	0.0003066859	0.9561866056	0.0002987061	0.8864249782	0.9997653318	no	15.6479199574194	15.536791273125	16.0268555921875	15.8509013170968	15.8029600839683	15.7287884747619	15.8598081625397	15.6719403961905
257.6746798	0.1262858368	0.7830781437	1.7167e-06	0.9479224591	0.496492509	0.9310611101	0.9997653318	no	14.5892303348387	14.679324698125	14.799351176875	14.6710743022581	14.7021041426984	14.6691192184127	14.5507833753968	14.8204399857143
257.6749561	0.1832060114	0.8734764066	0.2207196737	0.8914685662	0.8537341399	0.9480019161	0.9997653318	no	14.7640163725806	14.7406805165625	14.878873143125	14.7380372893548	14.7895763096825	14.7721598907937	14.7521051387302	14.809631061746
257.8079477	0.2083077898	0.7985791567	0.82277445	0.9590157083	0.0051725842	0.7657262728	0.9997653318	no	14.6987993664516	14.7369860253125	14.88927248	14.7787899754839	14.7928106261905	14.7602932114286	14.7704216155556	14.7826822220635
258.0363839	0.2926562009	0.9591435474	0.0010303237	0.9388978747	0.9835837909	0.9523226755	0.9997653318	no	14.0240743341935	13.8824564371875	14.0284388259375	14.0268710467742	13.9931761555556	13.986632657619	13.8966986253968	14.0831101877778
258.0647775	0.0226591949	0.716013883	0	0.9548762858	0.0173576049	0.8144313739	0.9997653318	no	15.3278308822581	15.110383434375	15.298994675	15.127072936129	15.1923167739683	15.2394628747619	14.9236754873016	15.5081041614286
258.0948391	0.2015148451	0.8396021277	0.7009352726	0.8498035749	0.0374716909	0.2827224903	0.9997653318	no	15.3504866390323	15.39713914625	15.1192930721875	15.1870444296774	15.2431325890476	15.2836816033333	15.2806585865079	15.246155605873
258.1128258	0	0.8321088943	0	0.964711405	1.5502e-06	0.9626226687	0.9997653318	no	16.8332523412903	17.4956896921875	16.6765159946875	16.593734236129	16.8881321920635	16.9173783774603	15.8750262033333	17.9304843661905
258.1176206	0.0063671237	0.8135263895	0.0036225023	0.9760904769	0.547954432	0.6861763307	0.9997653318	no	14.564035703871	14.77650774625	14.4273354546875	14.5209258819355	14.5556106320635	14.5897352661905	14.6667734598413	14.4785724384127
258.1447077	0.8471220323	0.7883467886	0	0.500833548	0.2751278065	0.3998390216	0.9997653318	no	16.5205518009677	16.531347350625	16.4634206803125	16.5089964832258	16.4911084055556	16.520773718254	16.3125548990476	16.6993272247619
258.1447479	0.4060902602	0.7692366609	0.0416746731	0.998206491	0.0721303435	0.8620009472	0.9997653318	no	18.0204344383871	18.1732228996875	17.9893626890625	18.1322756312903	18.0516844465079	18.1060417598413	18.0002598007936	18.1574664055556
258.1696509	0.4123431606	0.7345681237	1e-10	0.9434540589	0.4879141869	0.8574340115	0.9997653318	no	15.2027145632258	15.0734708303125	15.380132509375	15.1567469283871	15.158251494127	15.2490280790476	14.8030877207937	15.604191852381
258.5872262	6.32713e-05	0.323613144	0	0.9201674916	0.005483246	0.7972797349	0.9997653318	no	14.1977158870968	14.65430281875	14.3556811396875	14.2477496632258	14.4455955366667	14.2866095225397	13.979344727619	14.7528603315873
258.587381	4.91448e-05	0.5378252649	0	0.9479224591	0.000627726	0.8485162861	0.9997653318	no	13.85933963	14.1907937346875	13.9281601284375	13.9169147658065	14.0091717706349	13.941152195873	13.7645277160317	14.1857962504762
258.8998059	0.0006425872	0.8831842951	0.4199182287	0.9997708442	0.4786508376	0.2638072722	0.9997653318	no	15.4943611222581	15.253917603125	15.73181210125	15.5492693158065	15.4942934309524	15.5199271106349	15.5378051371429	15.4764154044444
258.9636078	0.865191027	0.8949507527	3.465e-07	0.9836611647	0.9282640975	0.9841488022	0.9997653318	no	14.4841160664516	14.465041371875	14.369664991875	14.3682460783871	14.4071452704762	14.4362488585714	14.1384688315873	14.7049252974603
259.0235176	0.8197860555	0.7011506208	7.2601e-06	0.9388978747	0.6034754429	0.8833855534	0.9997653318	no	13.9402083625806	13.941459175	13.9059915509375	13.9496884635484	13.9201969469841	13.9481399552381	14.0027142401587	13.8656226620635
